period_start,state_code,state_name,species_group,drug_id,drug_name,amu_mg,treatment_count
2023-09-01,MH,Maharashtra,dairy,oxy,Oxytetracycline,17528323.8,8764
2023-09-01,MH,Maharashtra,dairy,amox,Amoxicillin,9525616.9,6350
2023-09-01,MH,Maharashtra,dairy,enro,Enrofloxacin,4876404.7,9753
2023-09-01,MH,Maharashtra,poultry,oxy,Oxytetracycline,13781960.7,6891
2023-09-01,MH,Maharashtra,poultry,amox,Amoxicillin,6337111.0,4225
2023-09-01,MH,Maharashtra,poultry,enro,Enrofloxacin,2921799.7,5844
2023-09-01,MH,Maharashtra,small_ruminants,oxy,Oxytetracycline,6858168.4,3429
2023-09-01,MH,Maharashtra,small_ruminants,amox,Amoxicillin,4098408.2,2732
2023-09-01,MH,Maharashtra,small_ruminants,enro,Enrofloxacin,1802726.1,3605
2023-09-01,GJ,Gujarat,dairy,oxy,Oxytetracycline,11525164.7,5763
2023-09-01,GJ,Gujarat,dairy,amox,Amoxicillin,8567525.9,5712
2023-09-01,GJ,Gujarat,dairy,enro,Enrofloxacin,3621338.1,7243
2023-09-01,GJ,Gujarat,poultry,oxy,Oxytetracycline,9392814.6,4696
2023-09-01,GJ,Gujarat,poultry,amox,Amoxicillin,6489407.1,4326
2023-09-01,GJ,Gujarat,poultry,enro,Enrofloxacin,2604651.3,5209
2023-09-01,GJ,Gujarat,small_ruminants,oxy,Oxytetracycline,4584978.9,2292
2023-09-01,GJ,Gujarat,small_ruminants,amox,Amoxicillin,3250603.4,2167
2023-09-01,GJ,Gujarat,small_ruminants,enro,Enrofloxacin,1209339.9,2419
2023-09-01,RJ,Rajasthan,dairy,oxy,Oxytetracycline,17544764.6,8772
2023-09-01,RJ,Rajasthan,dairy,amox,Amoxicillin,10029674.7,6686
2023-09-01,RJ,Rajasthan,dairy,enro,Enrofloxacin,4221294.4,8443
2023-09-01,RJ,Rajasthan,poultry,oxy,Oxytetracycline,11130638.1,5565
2023-09-01,RJ,Rajasthan,poultry,amox,Amoxicillin,8377582.2,5585
2023-09-01,RJ,Rajasthan,poultry,enro,Enrofloxacin,3135831.2,6272
2023-09-01,RJ,Rajasthan,small_ruminants,oxy,Oxytetracycline,6145473.0,3073
2023-09-01,RJ,Rajasthan,small_ruminants,amox,Amoxicillin,3871495.8,2581
2023-09-01,RJ,Rajasthan,small_ruminants,enro,Enrofloxacin,1803266.1,3607
2023-09-01,PB,Punjab,dairy,oxy,Oxytetracycline,12015622.8,6008
2023-09-01,PB,Punjab,dairy,amox,Amoxicillin,7544024.8,5029
2023-09-01,PB,Punjab,dairy,enro,Enrofloxacin,3224375.4,6449
2023-09-01,PB,Punjab,poultry,oxy,Oxytetracycline,10423245.1,5212
2023-09-01,PB,Punjab,poultry,amox,Amoxicillin,5147380.5,3432
2023-09-01,PB,Punjab,poultry,enro,Enrofloxacin,2171989.0,4344
2023-09-01,PB,Punjab,small_ruminants,oxy,Oxytetracycline,4239186.7,2120
2023-09-01,PB,Punjab,small_ruminants,amox,Amoxicillin,3061860.8,2041
2023-09-01,PB,Punjab,small_ruminants,enro,Enrofloxacin,1369522.4,2739
2023-09-01,KA,Karnataka,dairy,oxy,Oxytetracycline,8470369.8,4235
2023-09-01,KA,Karnataka,dairy,amox,Amoxicillin,4905096.2,3270
2023-09-01,KA,Karnataka,dairy,enro,Enrofloxacin,2096422.5,4193
2023-09-01,KA,Karnataka,poultry,oxy,Oxytetracycline,6758031.2,3379
2023-09-01,KA,Karnataka,poultry,amox,Amoxicillin,4260516.8,2840
2023-09-01,KA,Karnataka,poultry,enro,Enrofloxacin,1783962.4,3568
2023-09-01,KA,Karnataka,small_ruminants,oxy,Oxytetracycline,3183882.6,1592
2023-09-01,KA,Karnataka,small_ruminants,amox,Amoxicillin,2181292.2,1454
2023-09-01,KA,Karnataka,small_ruminants,enro,Enrofloxacin,920181.4,1840
2023-10-01,MH,Maharashtra,dairy,oxy,Oxytetracycline,15351773.0,7676
2023-10-01,MH,Maharashtra,dairy,amox,Amoxicillin,10177369.6,6785
2023-10-01,MH,Maharashtra,dairy,enro,Enrofloxacin,4059202.5,8118
2023-10-01,MH,Maharashtra,poultry,oxy,Oxytetracycline,11927755.3,5964
2023-10-01,MH,Maharashtra,poultry,amox,Amoxicillin,7007163.4,4671
2023-10-01,MH,Maharashtra,poultry,enro,Enrofloxacin,3037271.0,6075
2023-10-01,MH,Maharashtra,small_ruminants,oxy,Oxytetracycline,6596978.0,3298
2023-10-01,MH,Maharashtra,small_ruminants,amox,Amoxicillin,3303293.6,2202
2023-10-01,MH,Maharashtra,small_ruminants,enro,Enrofloxacin,1587533.7,3175
2023-10-01,GJ,Gujarat,dairy,oxy,Oxytetracycline,10583832.8,5292
2023-10-01,GJ,Gujarat,dairy,amox,Amoxicillin,6478551.8,4319
2023-10-01,GJ,Gujarat,dairy,enro,Enrofloxacin,2854409.1,5709
2023-10-01,GJ,Gujarat,poultry,oxy,Oxytetracycline,9491658.1,4746
2023-10-01,GJ,Gujarat,poultry,amox,Amoxicillin,4699886.1,3133
2023-10-01,GJ,Gujarat,poultry,enro,Enrofloxacin,2393534.6,4787
2023-10-01,GJ,Gujarat,small_ruminants,oxy,Oxytetracycline,3815367.1,1908
2023-10-01,GJ,Gujarat,small_ruminants,amox,Amoxicillin,2762821.4,1842
2023-10-01,GJ,Gujarat,small_ruminants,enro,Enrofloxacin,1232083.4,2464
2023-10-01,RJ,Rajasthan,dairy,oxy,Oxytetracycline,15094238.9,7547
2023-10-01,RJ,Rajasthan,dairy,amox,Amoxicillin,9516916.2,6345
2023-10-01,RJ,Rajasthan,dairy,enro,Enrofloxacin,4067278.6,8135
2023-10-01,RJ,Rajasthan,poultry,oxy,Oxytetracycline,10231119.8,5116
2023-10-01,RJ,Rajasthan,poultry,amox,Amoxicillin,6300378.1,4200
2023-10-01,RJ,Rajasthan,poultry,enro,Enrofloxacin,3042040.0,6084
2023-10-01,RJ,Rajasthan,small_ruminants,oxy,Oxytetracycline,5776665.7,2888
2023-10-01,RJ,Rajasthan,small_ruminants,amox,Amoxicillin,3201725.4,2134
2023-10-01,RJ,Rajasthan,small_ruminants,enro,Enrofloxacin,1380086.1,2760
2023-10-01,PB,Punjab,dairy,oxy,Oxytetracycline,9269045.4,4635
2023-10-01,PB,Punjab,dairy,amox,Amoxicillin,6676924.8,4451
2023-10-01,PB,Punjab,dairy,enro,Enrofloxacin,2736067.5,5472
2023-10-01,PB,Punjab,poultry,oxy,Oxytetracycline,8113134.2,4057
2023-10-01,PB,Punjab,poultry,amox,Amoxicillin,4526989.7,3018
2023-10-01,PB,Punjab,poultry,enro,Enrofloxacin,2037438.6,4075
2023-10-01,PB,Punjab,small_ruminants,oxy,Oxytetracycline,4479935.9,2240
2023-10-01,PB,Punjab,small_ruminants,amox,Amoxicillin,2545971.1,1697
